state_name,state_initials,2004_population,2004_electoral_votes
Alabama,AL,4530182,9
Alaska,AK,655435,3
Arizona,AZ,5743834,10
Arkansas,AR,2752629,6
California,CA,35893799,55
Colorado,CO,4601403,9
Connecticut,CT,3503604,7
Delaware,DE,830364,3
District of Columbia,DC,553523,3
Florida,FL,17397161,27
Georgia,GA,8829383,15
Hawaii,HI,1262840,4
Idaho,ID,1393262,4
Illinois,IL,12713634,21
Indiana,IN,6237569,11
Iowa,IA,2954451,7
Kansas,KS,2735502,6
Kentucky,KY,4145922,8
Louisiana,LA,4515770,9
Maine,ME,1317253,4
Maryland,MD,5558058,10
Massachusetts,MA,6416505,12
Michigan,MI,10112620,17
Minnesota,MN,5100958,10
Mississippi,MS,2902966,6
Missouri,MO,5754618,11
Montana,MT,926865,3
Nebraska,NE,1747214,5
Nevada,NV,2334771,5
New Hampshire,NH,1299500,4
New Jersey,NJ,8698879,15
New Mexico,NM,1903289,5
New York,NY,19227088,31
North Carolina,NC,8541221,15
North Dakota,ND,634366,3
Ohio,OH,11459011,20
Oklahoma,OK,3523553,7
Oregon,OR,3594586,7
Pennsylvania,PA,12406292,21
Rhode Island,RI,1080632,4
South Carolina,SC,4198068,8
South Dakota,SD,770883,3
Tennessee,TN,5900962,11
Texas,TX,22490022,34
Utah,UT,2389039,5
Vermont,VT,621394,3
Virginia,VA,7459827,13
Washington,WA,6203788,11
West Virginia,WV,1815354,5
Wisconsin,WI,5509026,10
Wyoming,WY,506529,3
